rwxr-xr-x  0/10      0 Jan  6 13:41 1986 ./
rw-r--r--  0/10  21182 Mar  9 05:00 1983 ./mona.24
rw-r--r--  0/10   7530 Mar  9 05:00 1983 ./pip.16
rw-r--r--  0/10  10274 Mar  9 05:00 1983 ./bocklin.14
rw-r--r--  0/10   8520 Mar  9 05:00 1983 ./apl.10
rw-r--r--  0/10   4252 Mar  9 05:00 1983 ./cyrillic.12
rw-r--r--  0/10   9474 Mar  9 05:00 1983 ./shadow.16
rw-r--r--  0/10  10470 Mar  9 05:00 1983 ./hebrew.16
rw-r--r--  0/10   7245 Mar  9 05:00 1983 ./delegate.i.12
rw-r--r--  0/10   9343 Mar  9 05:00 1983 ./chess.18
rw-r--r--  0/10   8445 Mar  9 05:00 1983 ./delegate.r.12
rw-r--r--  0/10   8470 Mar  9 05:00 1983 ./fix.10
rw-r--r--  0/10  10130 Mar  9 05:00 1983 ./fix.12
rw-r--r--  0/10  20010 Mar  9 05:00 1983 ./fix.14
rw-r--r--  0/10   5742 Mar  9 05:00 1983 ./fix.6
rw-r--r--  0/10   6850 Mar  9 05:00 1983 ./fix.9
rw-r--r--  0/10   5918 Mar  9 05:00 1983 ./I.8
rw-r--r--  0/10   5851 Mar  9 05:00 1983 ./I.8r
rw-r--r--  0/10  14051 Mar  9 05:00 1983 ./oldenglish.18
rw-r--r--  0/10  11059 Mar  9 05:00 1983 ./oldenglish.14
rw-r--r--  0/10   6580 Mar  9 05:00 1983 ./I.9
rw-r--r--  0/10   6638 Mar  9 05:00 1983 ./playbill.10
rw-r--r--  0/10   7130 Mar  9 05:00 1983 ./oldenglish.8
rw-r--r--  0/10   6759 Mar  9 05:00 1983 ./I.9r
rw-r--r--  0/10  28820 Mar  9 05:00 1983 ./bocklin.28r
rw-r--r--  0/10   8910 Mar  9 05:00 1983 ./bodoni.b.10r
rw-r--r--  0/10   8194 Mar  9 05:00 1983 ./bodoni.i.10r
rw-r--r--  0/10  52611 Mar  9 05:00 1983 ./I.sr.36
rw-r--r--  0/10   6730 Jun 23 09:22 1983 ./R.10
rw-r--r--  0/10   6718 Jun 23 09:22 1983 ./R.10r
rw-r--r--  0/10   7420 Mar  9 05:00 1983 ./R.11
rw-r--r--  0/10   7053 Mar  9 05:00 1983 ./R.11r
rw-r--r--  0/10   8257 Mar  9 05:00 1983 ./R.12
rw-r--r--  0/10   7667 Mar  9 05:00 1983 ./R.12r
rw-r--r--  0/10   8530 Mar  9 05:00 1983 ./bodoni.r.10r
rw-r--r--  0/10  10164 Mar  9 05:00 1983 ./R.14
rw-r--r--  0/10   7021 Mar  9 05:00 1983 ./delegate.b.12
rw-r--r--  0/10  10060 Mar  9 05:00 1983 ./R.14r
rw-r--r--  0/10  12235 Mar  9 05:00 1983 ./R.16
rw-r--r--  0/10  11297 Mar  9 05:01 1983 ./R.16r
rw-r--r--  0/10  12079 Mar  9 05:01 1983 ./hebrew.36
rw-r--r--  0/10   9336 Mar  9 05:01 1983 ./chess.18r
rw-r--r--  0/10  18348 Mar  9 05:01 1983 ./clarendon.18
rw-r--r--  0/10  13270 Mar  9 05:01 1983 ./countdown.22
rw-r--r--  0/10   7170 Mar  9 05:01 1983 ./greek.10
rw-r--r--  0/10   6305 Mar  9 05:01 1983 ./hebrew.24
rw-r--r--  0/10  13622 Mar  9 05:01 1983 ./clarendon.14r
rw-r--r--  0/10  12885 Mar  9 05:01 1983 ./clarendon.14
rw-r--r--  0/10   8257 Mar  9 05:01 1983 ./stare.r.14
rw-r--r--  0/10  14895 Mar  9 05:01 1983 ./graphics.14
rw-r--r--  0/10  10470 Mar  9 05:01 1983 ./hebrew.17
rw-r--r--  0/10  10681 Mar  9 05:01 1983 ./cm.r.9
rw-r--r--  0/10  14516 Mar  9 05:01 1983 ./cm.r.11
